"
stimulus_presentations_id","stimulus_block
","stimulus_block_name
","image_index
","image_name
","movie_frame_index
","duration
","start_time
","end_time
","start_frame
","end_frame
","is_change
","is_image_novel
","omitted
","movie_repeat
","flashes_since_change
","trials_id
","is_sham_change
","stimulus_name
","active
"
5207,3,natural_movie_one,-99,NaN,399,0.03337,4228.131576,4228.164946,253054,253055,False,<NA>,<NA>,0,406,-99,False,natural_movie_one,False
5208,3,natural_movie_one,-99,NaN,400,0.03333,4228.164946,4228.198276,253056,253057,False,<NA>,<NA>,0,407,-99,False,natural_movie_one,False
5209,3,natural_movie_one,-99,NaN,401,0.03337,4228.198276,4228.231646,253058,253059,False,<NA>,<NA>,0,408,-99,False,natural_movie_one,False
5210,3,natural_movie_one,-99,NaN,402,0.03335,4228.231646,4228.264996,253060,253061,False,<NA>,<NA>,0,409,-99,False,natural_movie_one,False
5211,3,natural_movie_one,-99,NaN,403,0.03337,4228.264996,4228.298366,253062,253063,False,<NA>,<NA>,0,410,-99,False,natural_movie_one,False
5212,3,natural_movie_one,-99,NaN,404,0.03336,4228.298366,4228.331726,253064,253065,False,<NA>,<NA>,0,411,-99,False,natural_movie_one,False
5213,3,natural_movie_one,-99,NaN,405,0.03332,4228.331726,4228.365046,253066,253067,False,<NA>,<NA>,0,412,-99,False,natural_movie_one,False
5214,3,natural_movie_one,-99,NaN,406,0.03340,4228.365046,4228.398446,253068,253069,False,<NA>,<NA>,0,413,-99,False,natural_movie_one,False
5215,3,natural_movie_one,-99,NaN,407,0.03337,4228.398446,4228.431816,253070,253071,False,<NA>,<NA>,0,414,-99,False,natural_movie_one,False
5216,3,natural_movie_one,-99,NaN,408,0.03330,4228.431816,4228.465116,253072,253073,False,<NA>,<NA>,0,415,-99,False,natural_movie_one,False
5217,3,natural_movie_one,-99,NaN,409,0.03345,4228.465116,4228.498566,253074,253075,False,<NA>,<NA>,0,416,-99,False,natural_movie_one,False
5218,3,natural_movie_one,-99,NaN,410,0.03341,4228.498566,4228.531976,253076,253077,False,<NA>,<NA>,0,417,-99,False,natural_movie_one,False
5219,3,natural_movie_one,-99,NaN,411,0.03326,4228.531976,4228.565236,253078,253079,False,<NA>,<NA>,0,418,-99,False,natural_movie_one,False
5220,3,natural_movie_one,-99,NaN,412,0.03338,4228.565236,4228.598616,253080,253081,False,<NA>,<NA>,0,419,-99,False,natural_movie_one,False
5221,3,natural_movie_one,-99,NaN,413,0.03339,4228.598616,4228.632006,253082,253083,False,<NA>,<NA>,0,420,-99,False,natural_movie_one,False
5222,3,natural_movie_one,-99,NaN,414,0.03333,4228.632006,4228.665336,253084,253085,False,<NA>,<NA>,0,421,-99,False,natural_movie_one,False
5223,3,natural_movie_one,-99,NaN,415,0.03336,4228.665336,4228.698696,253086,253087,False,<NA>,<NA>,0,422,-99,False,natural_movie_one,False
5224,3,natural_movie_one,-99,NaN,416,0.03334,4228.698696,4228.732036,253088,253089,False,<NA>,<NA>,0,423,-99,False,natural_movie_one,False
5225,3,natural_movie_one,-99,NaN,417,0.03337,4228.732036,4228.765406,253090,253091,False,<NA>,<NA>,0,424,-99,False,natural_movie_one,False
5226,3,natural_movie_one,-99,NaN,418,0.03337,4228.765406,4228.798776,253092,253093,False,<NA>,<NA>,0,425,-99,False,natural_movie_one,False
5227,3,natural_movie_one,-99,NaN,419,0.03334,4228.798776,4228.832116,253094,253095,False,<NA>,<NA>,0,426,-99,False,natural_movie_one,False
5228,3,natural_movie_one,-99,NaN,420,0.03344,4228.832116,4228.865556,253096,253097,False,<NA>,<NA>,0,427,-99,False,natural_movie_one,False
5229,3,natural_movie_one,-99,NaN,421,0.03332,4228.865556,4228.898876,253098,253099,False,<NA>,<NA>,0,428,-99,False,natural_movie_one,False
5230,3,natural_movie_one,-99,NaN,422,0.03332,4228.898876,4228.932196,253100,253101,False,<NA>,<NA>,0,429,-99,False,natural_movie_one,False
5231,3,natural_movie_one,-99,NaN,423,0.03339,4228.932196,4228.965586,253102,253103,False,<NA>,<NA>,0,430,-99,False,natural_movie_one,False
5232,3,natural_movie_one,-99,NaN,424,0.03336,4228.965586,4228.998946,253104,253105,False,<NA>,<NA>,0,431,-99,False,natural_movie_one,False
5233,3,natural_movie_one,-99,NaN,425,0.03334,4228.998946,4229.032286,253106,253107,False,<NA>,<NA>,0,432,-99,False,natural_movie_one,False
5234,3,natural_movie_one,-99,NaN,426,0.03338,4229.032286,4229.065666,253108,253109,False,<NA>,<NA>,0,433,-99,False,natural_movie_one,False
5235,3,natural_movie_one,-99,NaN,427,0.03336,4229.065666,4229.099026,253110,253111,False,<NA>,<NA>,0,434,-99,False,natural_movie_one,False
5236,3,natural_movie_one,-99,NaN,428,0.03335,4229.099026,4229.132376,253112,253113,False,<NA>,<NA>,0,435,-99,False,natural_movie_one,False
5237,3,natural_movie_one,-99,NaN,429,0.03336,4229.132376,4229.165736,253114,253115,False,<NA>,<NA>,0,436,-99,False,natural_movie_one,False
5238,3,natural_movie_one,-99,NaN,430,0.03343,4229.165736,4229.199166,253116,253117,False,<NA>,<NA>,0,437,-99,False,natural_movie_one,False
5239,3,natural_movie_one,-99,NaN,431,0.03330,4229.199166,4229.232466,253118,253119,False,<NA>,<NA>,0,438,-99,False,natural_movie_one,False
5240,3,natural_movie_one,-99,NaN,432,0.03336,4229.232466,4229.265826,253120,253121,False,<NA>,<NA>,0,439,-99,False,natural_movie_one,False
5241,3,natural_movie_one,-99,NaN,433,0.03336,4229.265826,4229.299186,253122,253123,False,<NA>,<NA>,0,440,-99,False,natural_movie_one,False
5242,3,natural_movie_one,-99,NaN,434,0.03336,4229.299186,4229.332546,253124,253125,False,<NA>,<NA>,0,441,-99,False,natural_movie_one,False
5243,3,natural_movie_one,-99,NaN,435,0.03336,4229.332546,4229.365906,253126,253127,False,<NA>,<NA>,0,442,-99,False,natural_movie_one,False
